CollegeCode,CSE,IT,ME,EE,EC,IC,CH,CIVIL,AUTO
C0001,240,120,0,0,180,155,0,60,155
C0002,0,60,0,35,0,180,240,60,60
C0003,95,60,215,180,95,0,155,180,0
C0004,120,60,0,60,0,180,60,120,0
C0005,180,95,60,240,0,180,180,105,10
C0006,70,120,240,0,180,155,60,60,60
C0007,60,60,120,35,95,120,0,180,60
C0008,60,240,155,0,180,120,215,120,0
C0009,60,240,120,130,70,190,95,155,240
C0010,60,190,0,240,0,35,60,180,60
C0011,95,180,0,180,70,180,10,0,120
C0012,120,155,0,240,105,240,215,180,240
C0013,180,0,180,35,60,120,140,120,60
C0014,120,35,0,215,215,240,0,215,120
C0015,0,180,60,215,105,240,0,240,60
C0016,0,95,120,180,60,60,0,35,180
C0017,0,60,35,165,120,180,215,240,180
C0018,240,180,70,215,155,0,240,120,120
C0019,120,35,240,0,0,60,215,120,95
C0020,120,180,0,180,0,0,130,35,0
C0021,155,60,240,60,35,155,240,35,120
C0022,95,10,180,0,95,120,35,0,190
C0023,240,0,35,35,0,0,180,190,60
C0024,155,190,215,240,0,0,120,120,130
C0025,0,165,95,45,215,0,180,240,155
C0026,0,35,180,240,155,0,240,215,35
C0027,0,95,120,60,215,180,0,130,0
C0028,130,215,215,0,155,0,0,0,0
C0029,35,215,240,215,0,60,180,0,95
C0030,60,215,180,95,240,180,10,70,240
C0031,120,35,180,120,35,155,120,120,0
C0032,180,35,180,215,10,0,0,120,60
C0033,95,10,180,0,95,180,190,180,120
C0034,35,120,240,190,180,190,0,155,240
C0035,0,180,120,180,95,180,180,180,95
C0036,120,130,60,240,0,0,120,180,155
C0037,60,120,0,60,95,105,0,180,60
C0038,95,155,0,95,180,0,190,155,240
C0039,215,35,60,180,10,60,95,0,35
C0040,120,35,60,240,60,60,95,60,0
C0041,180,0,240,240,35,60,35,120,60
C0042,240,155,60,240,35,240,180,180,240
C0043,240,120,180,180,35,215,0,70,180
C0044,35,95,60,180,0,215,155,190,180
C0045,0,180,240,180,0,240,35,60,0
C0046,0,35,35,60,95,120,60,35,130
C0047,60,0,70,60,0,120,0,0,120
C0048,0,60,240,0,180,120,60,70,0
C0049,240,180,35,180,240,180,240,120,155
C0050,60,70,130,120,60,10,155,180,240
