Enrollmentno,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10
E0001,C0045-CH,C0020-CIVIL,C0009-CIVIL,C0026-CH,C0036-CIVIL,C0009-CH,C0045-CH,C0024-CIVIL,C0007-CIVIL,C0006-CIVIL
E0002,C0029-CH,C0005-CH,C0033-CH,C0042-CH,C0008-CIVIL,C0023-CH,C0034-CIVIL,C0038-CH,C0003-CH,C0012-CIVIL
E0003,C0045-CH,C0031-CH,C0041-CIVIL,C0048-CH,C0010-CIVIL,C0012-CH,C0035-CH,C0042-CIVIL,C0029-CH,C0009-CH
E0004,C0047-AUTO,C0022-IC,C0026-ME,C0046-IC,C0041-ME,C0006-ME,C0008-ME,C0036-AUTO,C0036-ME,C0043-IC
E0005,C0010-EE,C0006-EC,C0025-EE,C0031-EE,C0040-EE,C0022-EC,C0040-EC,C0015-EE,C0050-EE,C0044-EE
E0006,C0031-CSE,C0042-CSE,C0014-CSE,C0026-IT,C0044-CSE,C0022-IT,C0008-IT,C0042-IT,C0001-CSE,C0005-IT
E0007,C0050-CSE,C0023-CSE,C0021-IT,C0040-IT,C0039-CSE,C0001-CSE,C0037-IT,C0030-IT,C0024-CSE,C0033-IT
E0008,C0046-EC,C0011-EE,C0030-EE,C0001-EC,C0007-EC,C0001-EC,C0046-EE,C0001-EC,C0031-EC,C0017-EC
E0009,C0017-ME,C0011-IC,C0017-AUTO,C0044-ME,C0011-IC,C0019-AUTO,C0006-AUTO,C0029-IC,C0026-AUTO,C0047-IC
E0010,C0021-AUTO,C0047-IC,C0030-ME,C0005-ME,C0041-IC,C0019-ME,C0013-AUTO,C0040-IC,C0030-IC,C0040-IC
E0011,C0028-EC,C0030-EE,C0027-EE,C0001-EC,C0021-EE,C0032-EE,C0017-EC,C0015-EE,C0007-EC,C0021-EC
E0012,C0012-AUTO,C0005-IC,C0007-AUTO,C0012-AUTO,C0006-IC,C0045-IC,C0019-ME,C0035-IC,C0037-AUTO,C0029-AUTO
