CollegeCode,CSE,IT,ME,EE,EC,IC,CH,CIVIL,AUTO
C0001,240,120,0,0,180,179,0,60,179
C0002,0,60,0,59,0,180,240,60,60
C0003,119,60,239,180,119,0,179,180,0
C0004,120,60,0,60,0,180,60,120,0
C0005,180,119,60,240,0,180,180,177,58
C0006,118,120,240,0,180,179,60,60,60
C0007,60,60,120,59,119,120,0,180,60
C0008,60,240,179,0,180,120,239,120,0
C0009,60,240,120,178,118,238,119,179,240
C0010,60,238,0,240,0,59,60,180,60
C0011,119,180,0,180,118,180,58,0,120
C0012,120,179,0,240,177,240,239,180,240
C0013,180,0,180,59,60,120,236,120,60
C0014,120,59,0,239,239,240,0,239,120
C0015,0,180,60,239,177,240,0,240,60
C0016,0,119,120,180,60,60,0,59,180
C0017,0,60,59,237,120,180,239,240,180
C0018,240,180,118,239,179,0,240,120,120
C0019,120,59,240,0,0,60,239,120,119
C0020,120,180,0,180,0,0,178,59,0
C0021,179,60,240,60,59,179,240,59,120
C0022,119,58,180,0,119,120,59,0,238
C0023,240,0,59,59,0,0,180,238,60
C0024,179,238,239,240,0,0,120,120,178
C0025,0,237,119,117,239,0,180,240,179
C0026,0,59,180,240,179,0,240,239,59
C0027,0,119,120,60,239,180,0,178,0
C0028,178,239,239,0,179,0,0,0,0
C0029,59,239,240,239,0,60,180,0,119
C0030,60,239,180,119,240,180,58,118,240
C0031,120,59,180,120,59,179,120,120,0
C0032,180,59,180,239,58,0,0,120,60
C0033,119,58,180,0,119,180,238,180,120
C0034,59,120,240,238,180,238,0,179,240
C0035,0,180,120,180,119,180,180,180,119
C0036,120,178,60,240,0,0,120,180,179
C0037,60,120,0,60,119,177,0,180,60
C0038,119,179,0,119,180,0,238,179,240
C0039,239,59,60,180,58,60,119,0,59
C0040,120,59,60,240,60,60,119,60,0
C0041,180,0,240,240,59,60,59,120,60
C0042,240,179,60,240,59,240,180,180,240
C0043,240,120,180,180,59,239,0,118,180
C0044,59,119,60,180,0,239,179,238,180
C0045,0,180,240,180,0,240,59,60,0
C0046,0,59,59,60,119,120,60,59,178
C0047,60,0,118,60,0,120,0,0,120
C0048,0,60,240,0,180,120,60,118,0
C0049,240,180,59,180,240,180,240,120,179
C0050,60,118,178,120,60,58,179,180,240
