Enrollmentno,sub1,sub2,sub3,sub4,sub5
E0001,72,49,97,85,51
E0002,55,44,81,94,93
E0003,43,76,41,69,74
E0004,82,96,51,70,52
E0005,93,41,68,45,49
E0006,81,72,85,60,55
E0007,89,79,70,70,99
E0008,74,74,88,43,77
E0009,79,78,71,69,68
E0010,63,64,87,46,53
E0011,47,49,70,57,83
E0012,85,69,88,48,77
E0013,86,51,55,76,50
E0014,84,73,84,56,75
E0015,80,72,94,77,46
E0016,69,60,74,60,70
E0017,43,100,84,69,60
E0018,43,44,81,94,45
E0019,85,72,60,76,69
E0020,71,44,50,70,59
E0021,72,93,89,87,88
E0022,50,55,79,75,100
E0023,69,68,46,65,84
E0024,98,49,75,91,77
E0025,40,90,57,75,54
E0026,97,48,47,44,56
E0027,64,44,46,87,41
E0028,75,72,98,79,94
E0029,41,61,94,83,82
E0030,74,45,61,95,95
E0031,82,87,78,64,48
E0032,52,57,90,56,60
E0033,69,57,65,76,85
E0034,65,47,79,46,87
E0035,85,69,87,91,73
E0036,80,52,64,73,51
E0037,43,74,54,82,82
E0038,62,71,69,70,61
E0039,70,89,87,59,42
E0040,89,100,40,51,65
E0041,79,88,65,65,93
E0042,43,96,73,46,96
E0043,69,59,90,88,84
E0044,78,96,59,67,51
E0045,96,99,43,42,90
E0046,56,98,81,75,83
E0047,74,51,87,86,97
E0048,63,98,77,60,46
E0049,51,98,60,78,72
E0050,55,76,98,100,59
E0051,60,47,43,57,45
E0052,50,79,42,71,69
E0053,45,40,95,72,43
E0054,41,100,61,88,87
E0055,70,63,61,86,43
E0056,100,86,48,100,68
E0057,41,63,45,78,88
E0058,59,41,73,51,68
E0059,76,80,45,56,51
E0060,52,67,98,75,54
E0061,95,71,50,75,74
E0062,49,44,44,78,90
E0063,82,94,73,69,94
E0064,44,86,49,61,57
E0065,91,51,93,43,49
E0066,94,97,88,88,70
E0067,82,91,75,77,41
E0068,67,50,56,70,78
E0069,54,67,85,98,71
E0070,79,48,58,45,84
E0071,74,85,67,57,93
E0072,62,65,79,61,84
E0073,48,69,71,85,47
E0074,85,48,45,70,65
E0075,74,54,49,65,44
E0076,47,47,51,90,89
E0077,80,90,91,90,74
E0078,65,75,43,55,46
E0079,73,84,44,49,69
E0080,93,69,66,44,98
E0081,69,96,90,100,82
E0082,69,91,74,62,74
E0083,82,77,86,91,43
E0084,73,67,59,94,81
E0085,62,49,99,91,100
E0086,58,78,96,45,83
E0087,55,54,96,55,56
E0088,48,97,65,42,76
E0089,67,72,81,47,74
E0090,77,81,80,41,65
E0091,44,50,61,93,55
E0092,53,87,87,47,86
E0093,60,92,75,50,64
E0094,75,87,89,80,86
E0095,70,46,90,85,65
E0096,89,58,58,47,87
E0097,83,100,76,59,50
E0098,41,52,91,73,74
E0099,94,82,100,98,98
E0100,50,46,79,64,99
E0101,54,50,47,82,69
E0102,62,97,94,81,72
E0103,76,100,66,45,90
E0104,54,76,87,87,55
E0105,70,40,55,85,48
E0106,83,58,89,99,79
E0107,72,98,76,73,81
E0108,97,41,65,41,75
E0109,61,92,44,81,58
E0110,56,42,63,63,65
E0111,99,99,49,69,73
E0112,43,69,40,99,71
E0113,94,92,82,98,48
E0114,73,59,63,98,71
E0115,60,47,45,61,74
E0116,78,80,72,79,71
E0117,53,64,93,40,78
E0118,53,73,58,47,81
E0119,55,57,59,95,69
E0120,65,40,41,92,64
E0121,63,94,74,43,68
E0122,99,76,83,70,72
E0123,70,66,45,74,55
E0124,87,96,53,55,96
E0125,44,74,100,58,91
E0126,92,70,74,59,97
E0127,67,47,52,64,95
E0128,89,91,91,96,52
E0129,98,98,91,88,77
E0130,61,51,94,96,42
E0131,85,96,49,65,96
E0132,93,78,43,59,60
E0133,53,98,100,82,69
E0134,58,56,42,64,62
E0135,62,63,46,60,68
E0136,40,42,67,63,86
E0137,46,60,69,41,56
E0138,68,53,55,60,74
E0139,42,83,52,88,63
E0140,94,74,79,51,56
E0141,87,75,99,64,40
E0142,85,84,87,81,44
E0143,51,61,92,70,45
E0144,72,83,90,90,97
E0145,52,44,97,74,81
E0146,85,91,81,50,48
E0147,71,60,70,89,85
E0148,52,80,64,52,42
E0149,71,63,46,52,61
E0150,86,44,75,98,81
E0151,62,76,100,40,68
E0152,73,53,62,97,79
E0153,51,86,78,93,98
E0154,71,86,49,99,65
E0155,79,79,63,72,80
E0156,48,40,77,77,40
E0157,86,40,98,69,69
E0158,52,69,69,100,75
E0159,54,98,82,95,70
E0160,59,42,86,42,86
E0161,62,96,45,62,46
E0162,75,51,85,87,49
E0163,56,82,100,94,62
E0164,58,61,42,84,46
E0165,72,41,51,42,65
E0166,66,74,58,99,60
E0167,43,98,59,80,69
E0168,66,74,87,60,87
E0169,55,96,98,61,96
E0170,83,87,44,84,63
E0171,62,40,57,99,85
E0172,77,66,92,65,76
E0173,40,42,65,41,59
E0174,68,79,63,59,61
E0175,70,88,46,96,64
E0176,99,55,92,65,81
E0177,62,95,72,57,43
E0178,71,77,68,48,56
E0179,47,55,68,96,69
E0180,83,67,89,45,50
E0181,63,45,76,92,73
E0182,69,58,69,41,83
E0183,83,90,40,89,94
E0184,58,88,100,62,62
E0185,60,89,48,79,97
E0186,65,96,94,50,96
E0187,65,61,46,55,49
E0188,57,47,59,97,92
E0189,71,59,56,44,52
E0190,57,96,47,59,76
E0191,89,87,83,55,80
E0192,98,75,75,71,54
E0193,93,70,89,90,58
E0194,44,74,73,85,61
E0195,94,53,95,96,50
E0196,52,53,51,83,75
E0197,62,86,70,61,47
E0198,48,65,65,61,48
E0199,67,54,87,45,93
E0200,92,60,45,59,99
E0201,59,53,89,91,65
E0202,49,69,86,47,71
E0203,84,95,87,67,40
E0204,52,74,88,99,57
E0205,86,79,72,60,96
E0206,44,65,87,65,90
E0207,56,99,79,96,89
E0208,97,75,47,95,52
E0209,67,92,89,56,98
E0210,78,99,77,56,97
E0211,50,87,54,57,69
E0212,51,95,77,86,44
E0213,61,58,92,95,42
E0214,85,82,90,77,79
E0215,87,100,72,84,43
E0216,93,73,84,83,75
E0217,95,67,90,40,72
E0218,91,50,52,68,70
E0219,58,84,96,57,86
E0220,53,77,91,58,50
E0221,76,90,43,82,95
E0222,98,93,42,59,71
E0223,50,63,96,78,64
E0224,82,79,100,43,72
E0225,71,60,74,90,65
E0226,81,81,49,77,57
E0227,64,85,42,97,57
E0228,98,76,99,95,55
E0229,66,59,44,51,50
E0230,70,65,44,86,69
E0231,64,89,92,77,62
E0232,94,54,50,50,96
E0233,71,92,46,90,71
E0234,86,98,43,72,73
E0235,100,49,51,100,82
E0236,81,80,60,77,89
E0237,67,83,64,90,66
E0238,76,86,81,62,96
E0239,65,77,84,100,95
E0240,56,83,96,76,92
E0241,81,65,59,84,72
E0242,97,96,56,60,40
E0243,96,40,63,42,44
E0244,43,91,89,94,97
E0245,51,65,45,99,59
E0246,77,87,75,66,96
E0247,49,45,43,51,42
E0248,63,65,77,61,97
E0249,78,50,88,63,68
E0250,98,82,66,61,65
E0251,49,49,98,44,99
E0252,82,58,47,76,69
E0253,95,50,89,51,60
E0254,75,60,94,86,69
E0255,40,82,60,57,82
E0256,100,68,52,41,48
E0257,97,83,64,58,43
E0258,78,97,48,41,99
